date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:02	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64e8e581-93bb09d100ebb0eb;gz%22	https://safacil.com/robots.txt		(from )
18:38:03	17998/17998	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:05%20GMT	https://safacil.com/	site_clon%c3%a9/safacil.com/index.html	(from )
18:38:05	2519/2519	---M--	200	added ('OK')	image/png	etag:%229d7-677c51c0-f17622d1b69e965b;;;%22	https://safacil.com/public/favicon/logo16.png	site_clon%c3%a9/safacil.com/public/favicon/logo16.png	(from https://safacil.com/)
18:38:08	2833/2833	---M--	200	added ('OK')	image/png	etag:%22b11-677c51c0-63d6441805af5f29;;;%22	https://safacil.com/public/favicon/logo32.png	site_clon%c3%a9/safacil.com/public/favicon/logo32.png	(from https://safacil.com/)
18:38:10	10181/10181	---M--	200	added ('OK')	image/png	etag:%2227c5-677c51c0-ca4a6eb7513c7254;;;%22	https://safacil.com/public/favicon/logo180.png	site_clon%c3%a9/safacil.com/public/favicon/logo180.png	(from https://safacil.com/)
18:38:11	14863/14863	---M--	200	added ('OK')	image/png	etag:%223a0f-677c51c0-a49f9f641426d75d;;;%22	https://safacil.com/public/favicon/logo192.png	site_clon%c3%a9/safacil.com/public/favicon/logo192.png	(from https://safacil.com/)
18:38:12	18865/18865	---M--	200	added ('OK')	image/png	etag:%2249b1-677c51c1-aab6c017fb36c8d9;;;%22	https://safacil.com/public/favicon/logo512.png	site_clon%c3%a9/safacil.com/public/favicon/logo512.png	(from https://safacil.com/)
18:38:13	12327/12327	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:15%20GMT	https://safacil.com/signin	site_clon%c3%a9/safacil.com/signin.html	(from https://safacil.com/)
18:38:14	10351/10351	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:16%20GMT	https://safacil.com/login	site_clon%c3%a9/safacil.com/login.html	(from https://safacil.com/)
18:38:15	5960/5960	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:17%20GMT	https://safacil.com/views/condcard.php	site_clon%c3%a9/safacil.com/views/condcard.html	(from https://safacil.com/)
18:38:17	7832/7832	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:19%20GMT	https://safacil.com/index.php?action=loginemail	site_clon%c3%a9/safacil.com/indexc695.html	(from https://safacil.com/login)
18:38:20	3555/3555	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:22%20GMT	https://safacil.com/index.php?action=verifyMailpass	site_clon%c3%a9/safacil.com/indexa958.html	(from https://safacil.com/login)
18:38:20	2159/2159	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2016%20Jan%202025%2023:38:22%20GMT	https://safacil.com/customerservice	site_clon%c3%a9/safacil.com/customerservice	(from https://safacil.com/login)
18:38:20	12500/12500	---M--	200	added ('OK')	image/png	etag:%2230d4-677c51f1-ccdc6712a7b128a3;;;%22	https://safacil.com/public/images/safacil.png	site_clon%c3%a9/safacil.com/public/images/safacil.png	(from https://safacil.com/index.php?action=verifyMailpass)
18:38:22	8111/8111	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:24%20GMT	https://safacil.com/customerservice	site_clon%c3%a9/safacil.com/customerservice.html	(from https://safacil.com/login)
18:38:22	5403/5403	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:24%20GMT	https://safacil.com/p2p	site_clon%c3%a9/safacil.com/p2p.html	(from https://safacil.com/customerservice)
18:38:23	5403/5403	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:25%20GMT	https://safacil.com/safacilpay	site_clon%c3%a9/safacil.com/safacilpay.html	(from https://safacil.com/customerservice)
18:38:24	5403/5403	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2023:38:26%20GMT	https://safacil.com/wallet	site_clon%c3%a9/safacil.com/wallet.html	(from https://safacil.com/customerservice)
